date,state,fips,cases,deaths,negative,recovered,income,percentile,happiness_score,emotional_physical,work,community_env,happiness_percentile,cases_pop,,
09/03/2020,Florida,12,18,0,140,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,8.38077E-07,,
10/03/2020,Florida,12,19,0,222,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,8.84637E-07,,
11/03/2020,Florida,12,28,2,301,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,1.30368E-06,,
12/03/2020,Florida,12,32,2,301,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,1.48991E-06,,
13/03/2020,Florida,12,50,2,478,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,2.32799E-06,,
14/03/2020,Florida,12,77,3,478,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,3.58511E-06,,
15/03/2020,Florida,12,116,4,678,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,5.40094E-06,,
16/03/2020,Florida,12,141,4,684,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,6.56494E-06,,
17/03/2020,Florida,12,186,6,940,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,8.66013E-06,,
18/03/2020,Florida,12,314,7,1225,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,1.46198E-05,,
19/03/2020,Florida,12,390,8,1533,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,1.81583E-05,,
20/03/2020,Florida,12,520,10,1870,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,2.42111E-05,,
21/03/2020,Florida,12,658,12,6579,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,3.06364E-05,,
22/03/2020,Florida,12,830,13,7990,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,3.86447E-05,,
23/03/2020,Florida,12,1171,14,11063,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,5.45216E-05,,
24/03/2020,Florida,12,1412,18,13127,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,6.57425E-05,,
25/03/2020,Florida,12,1682,22,15374,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,7.83137E-05,,
26/03/2020,Florida,12,2355,28,23741,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000109648,,
27/03/2020,Florida,12,2765,34,28186,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000128738,,
28/03/2020,Florida,12,3763,54,35366,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000175205,,
29/03/2020,Florida,12,4246,56,39070,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000197693,,
30/03/2020,Florida,12,5473,63,48225,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000254822,,
31/03/2020,Florida,12,6338,77,54285,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000295096,,
01/04/2020,Florida,12,6955,87,59529,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000323824,,
02/04/2020,Florida,12,8010,128,69286,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000372944,,
03/04/2020,Florida,12,9585,163,82137,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000446276,,
04/04/2020,Florida,12,11111,191,90956,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000517326,,
05/04/2020,Florida,12,12151,218,101253,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000565749,,
06/04/2020,Florida,12,13324,236,109950,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000620363,,
07/04/2020,Florida,12,14747,296,123415,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000686618,,
08/04/2020,Florida,12,15455,309,127679,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000719582,,
09/04/2020,Florida,12,16364,354,136185,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000761905,,
10/04/2020,Florida,12,17531,390,145299,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000816241,,
11/04/2020,Florida,12,18494,438,154439,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000861078,,
12/04/2020,Florida,12,19355,465,163398,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000901166,,
13/04/2020,Florida,12,20601,483,175606,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000959179,,
14/04/2020,Florida,12,21367,537,181813,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.000994844,,
15/04/2020,Florida,12,22511,609,190998,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001048109,,
16/04/2020,Florida,12,22897,646,196351,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001066081,,
17/04/2020,Florida,12,24119,699,210718,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001122977,,
18/04/2020,Florida,12,25269,754,221258,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001176521,,
19/04/2020,Florida,12,25996,781,230083,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.00121037,,
20/04/2020,Florida,12,26660,806,239565,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001241285,,
21/04/2020,Florida,12,27495,856,249564,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001280163,,
22/04/2020,Florida,12,28309,910,260318,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001318063,,
23/04/2020,Florida,12,28832,979,267876,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001342413,,
24/04/2020,Florida,12,30174,1031,286785,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001404897,,
25/04/2020,Florida,12,30839,1075,302260,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001435859,,
26/04/2020,Florida,12,31528,1094,313085,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001467939,,
27/04/2020,Florida,12,32138,1101,324325,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.00149634,,
28/04/2020,Florida,12,32846,1154,334029,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001529305,,
29/04/2020,Florida,12,33193,1240,340295,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001545461,,
30/04/2020,Florida,12,33690,1290,348715,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001568601,,
01/05/2020,Florida,12,34728,1314,367971,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.00161693,,
02/05/2020,Florida,12,35463,1388,380549,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001651152,,
03/05/2020,Florida,12,36078,1403,392111,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001679786,,
04/05/2020,Florida,12,36897,1423,407373,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001717918,,
05/05/2020,Florida,12,37439,1536,428252,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001743154,,
06/05/2020,Florida,12,38002,1605,442049,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001769367,,
07/05/2020,Florida,12,38828,1667,454122,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001807825,,
08/05/2020,Florida,12,39199,1738,474142,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001825099,,
09/05/2020,Florida,12,40001,1785,487730,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.00186244,,
10/05/2020,Florida,12,40596,1791,498352,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001890143,,
11/05/2020,Florida,12,40982,1805,520075,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001908115,,
12/05/2020,Florida,12,41923,1849,537681,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.001951928,,
13/05/2020,Florida,12,42402,1898,552361,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.00197423,,
14/05/2020,Florida,12,43210,1948,565627,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002011851,,
15/05/2020,Florida,12,43210,1991,565627,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002011851,,
16/05/2020,Florida,12,44811,2040,585236,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002086393,,
17/05/2020,Florida,12,45588,2049,606204,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.00212257,,
18/05/2020,Florida,12,46442,2073,629970,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002162332,,
19/05/2020,Florida,12,46944,2129,668911,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002185705,,
20/05/2020,Florida,12,47471,2173,723877,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002210242,,
21/05/2020,Florida,12,48675,2222,765254,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.0022663,,
22/05/2020,Florida,12,49451,2268,786045,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002302431,,
23/05/2020,Florida,12,50127,2312,806310,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002333905,,
24/05/2020,Florida,12,50867,2316,820368,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002368359,,
25/05/2020,Florida,12,51746,2331,856489,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002409285,,
26/05/2020,Florida,12,52255,2338,870969,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002432984,,
27/05/2020,Florida,12,52634,2400,880937,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002450631,,
28/05/2020,Florida,12,53285,2446,898331,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002480941,,
29/05/2020,Florida,12,54497,2495,928742,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002537372,,
30/05/2020,Florida,12,55424,2530,939544,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002580533,,
31/05/2020,Florida,12,56163,2534,965186,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.00261494,,
01/06/2020,Florida,12,56830,2543,983570,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002645996,,
02/06/2020,Florida,12,57447,2613,992305,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002674723,,
03/06/2020,Florida,12,58764,2650,1022149,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002736042,,
04/06/2020,Florida,12,60183,2691,1046860,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002802111,,
05/06/2020,Florida,12,61488,2745,1073452,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002862871,,
06/06/2020,Florida,12,62758,2773,1111427,0,54644,"$55,000 - $63,000",50.75,17,27,47,4,0.002922002,,
